"","temp","humidity"
"1",9.47222222222222,0.89
"2",9.35555555555556,0.86
"3",9.37777777777778,0.89
"4",8.28888888888889,0.83
"5",8.75555555555555,0.83
"6",9.22222222222222,0.85
"7",7.73333333333333,0.95
"8",8.77222222222222,0.89
"9",10.8222222222222,0.82
"10",13.7722222222222,0.72
"11",16.0166666666667,0.67
"12",17.1444444444444,0.54
"13",17.8,0.55
"14",17.3333333333333,0.51
"15",18.8777777777778,0.47
"16",18.9111111111111,0.46
"17",15.3888888888889,0.6
"18",15.55,0.63
"19",14.2555555555556,0.69
"20",13.1444444444444,0.7
"21",11.55,0.77
"22",11.1833333333333,0.76
"23",10.1166666666667,0.79
"24",10.2,0.77
"25",10.4222222222222,0.62
"26",9.91111111111111,0.66
"27",11.1833333333333,0.8
"28",7.15555555555556,0.79
"29",6.11111111111111,0.82
"30",6.78888888888889,0.83
"31",7.26111111111111,0.85
"32",7.8,0.83
"33",9.87222222222223,0.78
"34",12.2222222222222,0.72
"35",15.0944444444444,0.61
"36",17.3555555555556,0.52
"37",19.0055555555555,0.46
"38",20.0444444444444,0.4
"39",21.05,0.4
"40",21.1833333333333,0.37
"41",20.1166666666667,0.4
"42",20.2166666666667,0.36
"43",20,0.43
"44",17.8,0.5
"45",16.0611111111111,0.53
"46",15.0222222222222,0.55
"47",14.4222222222222,0.58
"48",14.2555555555556,0.59
"49",13.7722222222222,0.6
"50",13.2833333333333,0.63
"51",8.63333333333333,0.87
"52",11.25,0.83
"53",11.1833333333333,0.89
"54",10.6944444444444,0.95
"55",11.1111111111111,0.93
"56",11.1111111111111,0.93
"57",12.1666666666667,0.82
"58",12.7555555555556,0.79
"59",13.8388888888889,0.84
"60",16.1833333333333,0.73
"61",17.5166666666667,0.67
"62",17.3833333333333,0.67
"63",17.3611111111111,0.71
"64",17.2055555555556,0.74
"65",15.6333333333333,0.81
"66",13.5777777777778,0.9
"67",10.9111111111111,0.86
"68",8.8,0.99
"69",8.96111111111111,0.93
"70",8.2,0.96
"71",7.68888888888889,0.96
"72",7.76666666666666,0.96
