"","weight"
"1",20.44
"2",20.244
"3",20.549
"4",20.755
"5",20.74
"6",20.847
"7",20.063
"8",20.453
"9",20.719
"10",20.283
"11",20.362
"12",20.162
"13",20.131
"14",20.304
"15",20.345
"16",20.076
"17",20.386
"18",20.419
"19",20.527
"20",20.427
"21",20.435
"22",20.426
"23",20.769
"24",20.483
"25",20.463
"26",20.397
"27",20.894
"28",20.673
"29",20.975
"30",20.369
"31",20.832
"32",20.178
"33",20.608
"34",20.68
"35",20.884
"36",20.483
"37",20.395
"38",20.635
"39",20.424
"40",20.652
"41",20.211
"42",20.331
"43",20.196
"44",20.427
"45",20.494
"46",20.506
"47",20.435
"48",20.939
"49",20.152
"50",20.353
"51",19.984
"52",20.79
"53",20.244
"54",20.369
"55",20.652
"56",20.593
"57",20.675
"58",20.619
"59",20.226
"60",20.277
"61",20.639
"62",20.565
"63",20.312
"64",20.452
"65",20.526
"66",20.612
"67",20.528
"68",20.318
"69",20.877
"70",20.597
"71",20.514
"72",20.666
"73",20.672
"74",20.373
"75",20.315
"76",20.722
"77",20.26
"78",20.188
"79",20.642
"80",20.628
"81",20.941
"82",20.789
"83",20.761
"84",20.523
"85",20.5
"86",20.591
"87",20.495
"88",20.289
"89",20.145
"90",20.666
"91",20.589
"92",20.624
"93",20.543
"94",20.295
"95",20.748
"96",20.438
"97",20.332
"98",20.336
"99",20.414
"100",20.409
"101",20.395
"102",20.67
"103",20.603
"104",20.378
"105",20.761
"106",20.148
"107",20.61
"108",20.477
"109",20.508
"110",20.369
"111",20.39
"112",20.67
"113",20.661
"114",20.591
"115",20.638
"116",20.826
"117",20.561
"118",20.618
"119",20.871
"120",20.433
"121",20.708
"122",20.529
"123",20.728
"124",20.47
"125",20.344
"126",20.715
"127",20.384
"128",20.607
"129",20.609
"130",20.437
"131",20.412
"132",20.227
"133",20.899
"134",20.387
"135",20.517
"136",20.453
"137",21.067
"138",20.75
"139",20.676
"140",20.766
"141",20.538
"142",20.608
"143",20.45
"144",20.256
"145",20.753
"146",20.442
"147",20.239
"148",20.653
"149",20.657
"150",20.586
"151",20.581
"152",20.37
"153",20.645
"154",20.605
"155",20.715
"156",19.946
"157",20.593
"158",20.793
"159",20.155
"160",20.509
"161",20.771
"162",20.838
"163",20.548
"164",20.529
"165",20.871
"166",20.491
"167",20.369
"168",20.681
"169",20.498
"170",20.708
"171",20.587
"172",20.791
"173",20.476
"174",20.308
"175",20.192
"176",19.987
"177",20.521
"178",20.56
"179",20.496
"180",20.54
"181",20.552
"182",20.795
"183",20.517
"184",20.277
"185",20.222
"186",20.538
"187",20.69
"188",20.198
"189",20.378
"190",20.605
"191",20.457
"192",20.431
"193",20.467
"194",20.412
"195",20.339
"196",20.629
"197",20.512
"198",20.753
"199",20.552
"200",20.511
"201",20.545
"202",20.543
"203",20.499
"204",20.255
"205",20.547
"206",20.53
"207",20.65
"208",20.353
"209",20.623
"210",20.544
"211",20.523
"212",20.674
"213",20.861
"214",20.238
"215",20.253
"216",20.612
"217",20.738
"218",20.324
"219",20.071
"220",20.32
"221",20.54
"222",20.586
"223",20.303
"224",20.328
"225",20.592
"226",20.524
"227",20.392
"228",20.52
"229",20.312
"230",20.321
"231",20.709
"232",20.825
"233",20.366
"234",20.466
"235",20.523
"236",20.869
"237",20.619
"238",20.831
"239",20.535
"240",20.812
"241",20.371
"242",20.307
"243",20.739
"244",20.684
"245",20.154
"246",20.754
"247",20.46
"248",20.273
"249",20.124
"250",20.335
"251",20.595
"252",20.684
"253",20.486
"254",20.489
"255",20.543
"256",20.43
"257",20.686
"258",20.401
"259",20.969
"260",20.649
"261",20.622
"262",20.304
"263",20.674
"264",20.789
"265",20.354
"266",20.44
"267",20.232
"268",20.771
"269",20.709
"270",20.537
"271",20.062
"272",20.601
"273",20.605
"274",20.743
"275",20.308
"276",20.741
"277",20.388
"278",20.353
"279",20.155
"280",20.775
"281",20.307
"282",20.809
"283",20.267
"284",20.418
"285",20.238
"286",20.818
"287",20.506
"288",20.566
"289",20.695
"290",20.89
"291",20.488
"292",20.294
"293",20.386
"294",20.67
"295",20.674
"296",20.602
"297",20.203
"298",20.221
"299",20.471
"300",20.374
"301",20.374
"302",20.676
"303",20.332
"304",20.477
"305",20.454
"306",20.804
"307",20.237
"308",20.313
"309",20.467
"310",20.288
"311",20.213
"312",20.067
"313",20.616
"314",20.432
"315",20.583
"316",20.09
"317",20.734
"318",20.11
"319",20.397
"320",20.305
"321",20.48
"322",20.527
"323",20.847
"324",20.399
"325",20.341
"326",20.351
"327",20.617
"328",20.757
"329",20.213
"330",20.694
"331",20.818
"332",20.367
"333",20.517
"334",20.334
"335",20.639
"336",20.548
"337",20.509
"338",20.294
"339",20.44
"340",20.645
"341",20.498
"342",20.7
"343",20.297
"344",20.652
"345",20.748
"346",20.266
"347",20.579
"348",20.144
"349",20.516
"350",20.701
"351",20.707
"352",20.521
"353",20.348
"354",20.616
"355",20.593
"356",20.646
"357",20.31
"358",20.619
"359",20.822
"360",20.547
"361",20.423
"362",20.55
"363",20.864
"364",20.02
"365",20.503
"366",20.475
"367",20.698
"368",20.747
"369",20.827
"370",20.136
"371",20.661
"372",20.573
"373",20.648
"374",20.597
"375",20.473
"376",20.832
"377",20.591
"378",20.494
"379",20.496
"380",20.49
"381",20.163
"382",20.589
"383",20.539
"384",20.63
"385",20.466
"386",20.665
"387",20.764
"388",20.88
"389",20.238
"390",20.624
"391",20.457
"392",20.352
"393",20.648
"394",20.966
"395",20.77
"396",20.536
"397",20.405
"398",20.452
"399",20.28
"400",20.515
"401",20.448
"402",20.628
"403",20.245
"404",20.604
"405",20.695
"406",20.327
"407",20.574
"408",20.606
"409",20.695
"410",20.455
"411",20.547
"412",20.416
"413",20.602
"414",20.815
"415",20.468
"416",20.295
"417",20.316
"418",20.646
"419",20.819
"420",20.374
"421",20.334
"422",20.705
"423",20.545
"424",20.59
"425",21.02
"426",20.384
"427",20.343
"428",20.742
"429",20.439
"430",20.217
"431",20.724
"432",20.242
"433",20.42
"434",20.212
"435",20.28
"436",20.621
"437",20.524
"438",20.15
"439",20.907
"440",20.548
"441",20.785
"442",20.495
"443",20.452
"444",20.506
"445",20.13
"446",20.362
"447",20.777
"448",20.534
"449",20.412
"450",20.379
"451",20.271
"452",20.75
"453",20.994
"454",20.683
"455",20.48
"456",20.328
"457",20.483
"458",20.449
"459",20.421
"460",20.674
"461",20.443
"462",20.569
"463",20.659
"464",20.548
"465",20.174
"466",20.505
"467",20.63
"468",20.468
"469",20.17
"470",20.18
"471",20.337
"472",20.552
"473",20.378
"474",20.913
"475",20.457
"476",20.673
"477",20.748
"478",20.408
"479",20.131
"480",20.32
"481",20.52
"482",20.554
"483",20.679
"484",20.085
"485",20.364
"486",20.531
"487",20.528
"488",20.485
"489",20.452
"490",20.794
"491",20.668
"492",20.234
"493",20.405
"494",20.448
"495",20.313
"496",20.46
"497",20.53
"498",20.308
"499",20.668
"500",20.465
"501",20.641
"502",20.349
"503",20.562
"504",20.248
"505",20.957
"506",20.666
"507",20.275
"508",20.798
"509",20.446
"510",20.216
"511",20.414
"512",20.555
"513",20.358
"514",20.617
"515",20.453
"516",20.606
"517",20.115
"518",20.278
"519",20.797
"520",20.541
"521",20.679
"522",20.255
"523",20.246
"524",20.45
"525",20.463
"526",20.703
"527",20.703
"528",20.442
"529",20.601
"530",20.69
"531",20.346
"532",20.352
"533",20.44
"534",20.601
"535",20.156
"536",20.74
"537",20.885
"538",20.503
"539",20.242
"540",20.504
"541",20.796
"542",20.533
"543",20.753
"544",20.711
"545",20.574
"546",20.348
"547",20.412
"548",20.768
"549",20.591
"550",20.641
"551",20.311
"552",20.08
"553",20.49
"554",20.7
"555",20.681
"556",20.401
"557",20.365
"558",20.557
"559",20.286
"560",20.607
"561",20.181
"562",20.791
"563",20.824
"564",20.368
"565",20.756
"566",20.64
"567",20.685
"568",20.281
"569",20.753
"570",20.413
"571",20.75
"572",20.181
"573",20.32
"574",21.103
"575",20.415
"576",20.417
"577",20.634
"578",20.438
"579",20.152
"580",20.51
"581",20.68
"582",20.679
"583",20.449
"584",20.59
"585",20.862
"586",20.589
"587",20.517
"588",20.391
"589",20.557
"590",20.496
"591",20.818
"592",21.081
"593",20.133
"594",20.528
"595",20.836
"596",20.693
"597",20.539
"598",20.731
"599",20.703
"600",20.479
"601",20.344
"602",20.3
"603",20.269
"604",19.997
"605",20.26
"606",20.634
"607",20.661
"608",20.741
"609",20.412
"610",20.248
